Subject Code,Catalog Number,Description
GEOG,10000,General Transfer Credit-SSC credit.
GEOG,10003,"A survey of the world's primary regions and the human and physical geography that shape them.  Interactions between natural environment, cultural geography, geopolitics, history, land use, and economic geography are highlighted."
GEOG,10013,"This course examines the processes that shape our environment and the resulting patterns of landforms, biomes, climates, and water resources.  Students will analyze interactions among dynamic systems in the lithosphere, hydrosphere, atmosphere, and biosphere using basic scientific principles and methods, with an emphasis on spatial relationships.  Students will also consider the relationship between humans and the environment, including the distribution of resources and adaptation to and modification of environments.  The course will be lecture with integrated lab."
GEOG,10023,This course introduces students to the field of urban studies in global context.  Major urban themes covered in the class include urban form; neighborhood change; real estate; environmental management; race and immigration; suburbanization; migration and slums; and cities within the global economy.  These themes are explored through case studies of major cities around the world.
GEOG,10200,General Transfer Credit
GEOG,10500,Transfer work with TCUCC-SSC credit.
GEOG,10510,GEOG Transfer Credit - SSC only
GEOG,10520,Transfer work with TCUCC-SSC credit.
GEOG,10550,Geography transfer credit with SSC credit only.
GEOG,20013,"The systematic subdivisions of human geography are surveyed, including urban, cultural, political, economic, historical, agricultural, and population geography.  Within each subdiscipline, applications of geographic concepts and processes are emphasized."
GEOG,20990,This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average.
GEOG,30003,"Prerequisite: Permission of instructor.  For geography majors who are Honors students as well as other students with overall GPAs at or above 3.5, who are willing to join the Honors College.  Permission by a geography faculty member required.  Directed study course for students who intend to complete a Seniors Honors Thesis research paper or equivalent creative project in a selected area of geography."
GEOG,30313,"This course is an introduction to Geographic Information Systems (GIS), with a focus on both the conceptual foundations and applications of GIS software.  Topics covered include spatial data models; cartographic design; coordinate systems and map projections; address geocoding and GPS data; spatial analysis; Internet GIS applications; and GIS modeling.  Laboratory assignments give students experience using GIS in thematic areas such as demographic analysis, market research, and urban environmental change."
GEOG,30323,"Data literacy is essential to success in many professional fields.  In this course, students will gain experience acquiring, manipulating, and analyzing data; and will learn how to effectively communicate their findings with static and interactive visualizations.  Students will learn how to work with data using the Python programming language, one of the most popular tools for performing data analysis."
GEOG,30333,"This course is an introduction to Geographic Information Systems (GIS), with a focus on the use of GIS for applications that are important for real estate professionals. No prior knowledge of GIS is assumed for this course, although students should have some facility with basic mathematics, statistics, and spreadsheet programs. Students will develop familiarity with leading GIS software programs and build experience managing property-related databases, conductinglocational analysis, site-suitability analyses, mapping market trends, risk-assessment, and utilizing GIS to navigate permitting, zoning, and other regulatory processes."
GEOG,30503,"An analysis of the human and physical geography of a specific region.  Examples of regions include Texas, Sub-Saharan Africa, and Eastern Europe.  Regional characteristics investigated may include economic, political, historical, and cultural components as well as topography, climate, and natural resources.  May be repeated for credit provided the specified region changes."
GEOG,30513,"An exploration of the human and physical geography of the United States.  Areas of the country, such as the Pacific Northwest and New England, will be surveyed, analyzing the physical, historic, cultural, and economic characteristics that embody their unique regional identities."
GEOG,30523,"An exploration of the human and physical geography of Latin America.  This course analyzes Latin America from a geographical perspective and addresses topics such as landforms, climate, environmental hazards, indigenous peoples, culture, ethnicity, religion, agriculture, political geography, population, cities, and economic production."
GEOG,30533,"An exploration of the human and physical geography of Western Europe.  Countries and regions of the realm will be surveyed, analyzing their economic, political, language and religious characteristics as well as topography, climate, and natural resources.  Themes may include the impact of population trends, environmental problems, trade and economic development, interactions between ethnic groups, and geopolitical change."
GEOG,30703,"Concepts, principles, patterns, and processes associated with a specific subdiscipline in geography.  Examples of topics include Economic Geography, Geopolitics, Medical Geography, and Physical Geography.  May be repeated for credit provided the specified subdiscipline changes."
GEOG,30713,"Urban Geography is the geographical study of cities.  Examples of topics include: urban ecosystems; the role of physical geography in the origins and growth of cities; theoretical models of urban size, location, and land use structure; the internal geography of urban economic and social activity; and international and historical variation in the form, functions, and degree of urbanization."
GEOG,30723,"Cultural Geography is the study of human culture from the perspectives of its five geographic themes: culture region, diffusion and migration, cultural ecology, cultural landscape, and cultural integration.  Each theme is applied to a variety of topics, which may include religion, language, cultural conflict, folk culture, popular culture, and demography."
GEOG,30733,"The Geography of Religion is the study of religion from the spatial perspective, utilizing the five themes of cultural geography: region, diffusion, culture-environment interaction, landscapes, and integration.  Our most important topics cover the relationship between physical geography and religion, and from this context we will analyze religions, past and present."
GEOG,30743,"Problem-solving by application of geographic concepts, methodologies, and techniques.  Examples are drawn from physical and human geography."
GEOG,30753,"In this course, students engage with contemporary debates around world population growth and change.  Course topics include demographic data and methods; the history and future of world population growth; fertility and population control in the developing world; aging in the developed world; global trends in mortality and disease; internal migration and immigration; and population, climate change, and environmental sustainability."
